track_pt,track_eta,track_phi,det_raw_id
254.303,-1.02944,2.48867,576225280 580419584 604051576 604054648 637567629 637575464 637608200 637633197 637635213 637635245 
259.695,1.02923,-0.652912,577929216 582123520 604018952 604022024 637568413 637575850 637608586 637633981 637635997 637636029 
85.4791,-1.21675,2.38603,604051056 604054640 604054648 604058736 604058744 604062832 604062840 637571332 637571432 637575528 637604168 637608264 637636904 637641000 
81.2792,1.21659,-0.755529,604022024 604026120 604030216 637575914 637608650 637641386 
1105.58,-1.90028,-2.46638,604050104 604050616 604054112 604058208 604062304 637649380 687887904 687904288 
781.229,1.90003,0.675153,604017192 604017704 604021272 604025368 604029464 687883298 687899682 
786.478,-0.366637,1.06935,579665920 583860224 588054528 637567281 637567313 637569329 637571409 637571441 
895.577,0.366501,-2.07224,577110016 581304320 585498624 589692928 637568025 637568057 637568089 637568121 637570073 637570105 
299.873,-0.946909,-0.681765,577798144 581992448 604051720 637568397 637570445 637575816 637633965 637636013 
329.328,0.946814,2.45984,576356352 580550656 604018808 637567645 637575434 637633213 637635261 
115.232,-1.02734,2.88292,576225280 580681728 604051600 604054672 637567629 637587752 637620488 637620520 637633165 637633325 637635213 
121.292,1.02728,-0.258664,577929216 579239936 604018968 604022040 637568413 637584042 637616778 637632573 637635997 
872.969,0.228354,-1.46479,577339392 581533696 585760768 591003648 637572345 637633685 637633717 637635733 637635765 
901.753,-0.228084,1.67682,575766528 579960832 584122368 590675968 637575665 637632917 637632949 637634965 637634997 
809.757,-1.76959,0.705171,604049960 604050472 604054040 604058136 637648964 637648996 687883296 687899680 
817.024,1.76946,-2.4364,604017336 604017848 604021344 604025440 637649350 637649382 687887906 687904290 
506.838,-0.40634,-3.02188,576520192 580714496 584908800 589103104 637567761 637567793 637569809 637569841 637571921 637633393 637637489 
537.704,0.406323,0.119678,575012864 579207168 583401472 587595776 637567001 637567033 637569049 637569081 637571161 637636729 
539.085,-2.39807,1.56672,604050000 604050512 604054056 604058152 604062248 
7408.86,2.39775,-1.57509,604017376 604017888 604021360 604025456 604029552 637575746 637575778 
454.399,-2.12574,-0.0658978,604049928 604050208 604050440 604050720 604054024 604054160 604058120 604058256 604062216 604062352 687882272 687886656 687891232 687898656 687907616 
398.269,2.12576,3.07549,604017296 604017304 604017808 604017816 604021320 604021328 604025416 604025424 604029512 604029520 687886626 687886882 687903010 687903266 
280.98,-0.6478,-0.364756,577830912 582025216 586186752 587497472 590381056 637567085 637572557 637632621 637633937 637633969 637635985 637636017 
285.168,0.64799,2.77679,576323584 580517888 584744960 588939264 637571805 637571837 637633177 637633209 637635225 637635257 
