det_raw_id,sub_det
574923776,DT
574924800,DT
574925824,DT
574926848,DT
574931968,DT
574932992,DT
574934016,DT
574935040,DT
574940160,DT
574941184,DT
574942208,DT
574943232,DT
574956544,DT
574957568,DT
574958592,DT
574959616,DT
574964736,DT
574965760,DT
574966784,DT
574967808,DT
574972928,DT
574973952,DT
574974976,DT
574976000,DT
574989312,DT
574990336,DT
574991360,DT
574992384,DT
574997504,DT
574998528,DT
574999552,DT
575000576,DT
575005696,DT
575006720,DT
575007744,DT
575008768,DT
575022080,DT
575023104,DT
575024128,DT
575025152,DT
575030272,DT
575031296,DT
575032320,DT
575033344,DT
575038464,DT
575039488,DT
575040512,DT
575041536,DT
575054848,DT
575055872,DT
575056896,DT
575057920,DT
575063040,DT
575064064,DT
575065088,DT
575066112,DT
575071232,DT
575072256,DT
575073280,DT
575074304,DT
575185920,DT
575186944,DT
575187968,DT
575188992,DT
575194112,DT
575195136,DT
575196160,DT
575197184,DT
575202304,DT
575203328,DT
575204352,DT
575205376,DT
575218688,DT
575219712,DT
575220736,DT
575221760,DT
575226880,DT
575227904,DT
575228928,DT
575229952,DT
575235072,DT
575236096,DT
575237120,DT
575238144,DT
575251456,DT
575252480,DT
575253504,DT
575254528,DT
575259648,DT
575260672,DT
575261696,DT
575262720,DT
575267840,DT
575268864,DT
575269888,DT
575270912,DT
575284224,DT
575285248,DT
575286272,DT
575287296,DT
575292416,DT
575293440,DT
575294464,DT
575295488,DT
575300608,DT
575301632,DT
575302656,DT
575303680,DT
575316992,DT
575318016,DT
575319040,DT
575320064,DT
575325184,DT
575326208,DT
575327232,DT
575328256,DT
575333376,DT
575334400,DT
575335424,DT
575336448,DT
575448064,DT
575449088,DT
575450112,DT
575451136,DT
575456256,DT
575457280,DT
575458304,DT
575459328,DT
575464448,DT
575465472,DT
575466496,DT
575467520,DT
575480832,DT
575481856,DT
575482880,DT
575483904,DT
575489024,DT
575490048,DT
575491072,DT
575492096,DT
575497216,DT
575498240,DT
575499264,DT
575500288,DT
575513600,DT
575514624,DT
575515648,DT
575516672,DT
575521792,DT
575522816,DT
575523840,DT
575524864,DT
575529984,DT
575531008,DT
575532032,DT
575533056,DT
575546368,DT
575547392,DT
575548416,DT
575549440,DT
575554560,DT
575555584,DT
575556608,DT
575557632,DT
575562752,DT
575563776,DT
575564800,DT
575565824,DT
575579136,DT
575580160,DT
575581184,DT
575582208,DT
575587328,DT
575588352,DT
575589376,DT
575590400,DT
575595520,DT
575596544,DT
575597568,DT
575598592,DT
575710208,DT
575711232,DT
575712256,DT
575713280,DT
575718400,DT
575719424,DT
575720448,DT
575721472,DT
575726592,DT
575727616,DT
575728640,DT
575729664,DT
575742976,DT
575744000,DT
575745024,DT
575746048,DT
575751168,DT
575752192,DT
575753216,DT
575754240,DT
575759360,DT
575760384,DT
575761408,DT
575762432,DT
575775744,DT
575776768,DT
575777792,DT
575778816,DT
575783936,DT
575784960,DT
575785984,DT
575787008,DT
575792128,DT
575793152,DT
575794176,DT
575795200,DT
575808512,DT
575809536,DT
575810560,DT
575811584,DT
575816704,DT
575817728,DT
575818752,DT
575819776,DT
575824896,DT
575825920,DT
575826944,DT
575827968,DT
575841280,DT
575842304,DT
575843328,DT
575844352,DT
575849472,DT
575850496,DT
575851520,DT
575852544,DT
575857664,DT
575858688,DT
575859712,DT
575860736,DT
575972352,DT
575973376,DT
575974400,DT
575975424,DT
575980544,DT
575981568,DT
575982592,DT
575983616,DT
575988736,DT
575989760,DT
575990784,DT
575991808,DT
576005120,DT
576006144,DT
576007168,DT
576008192,DT
576013312,DT
576014336,DT
576015360,DT
576016384,DT
576021504,DT
576022528,DT
576023552,DT
576024576,DT
576037888,DT
576038912,DT
576039936,DT
576040960,DT
576046080,DT
576047104,DT
576048128,DT
576049152,DT
576054272,DT
576055296,DT
576056320,DT
576057344,DT
576070656,DT
576071680,DT
576072704,DT
576073728,DT
576078848,DT
576079872,DT
576080896,DT
576081920,DT
576087040,DT
576088064,DT
576089088,DT
576090112,DT
576103424,DT
576104448,DT
576105472,DT
576106496,DT
576111616,DT
576112640,DT
576113664,DT
576114688,DT
576119808,DT
576120832,DT
576121856,DT
576122880,DT
576234496,DT
576235520,DT
576236544,DT
576237568,DT
576242688,DT
576243712,DT
576244736,DT
576245760,DT
576250880,DT
576251904,DT
576252928,DT
576253952,DT
576267264,DT
576268288,DT
576269312,DT
576270336,DT
576275456,DT
576276480,DT
576277504,DT
576278528,DT
576283648,DT
576284672,DT
576285696,DT
576286720,DT
576300032,DT
576301056,DT
576302080,DT
576303104,DT
576308224,DT
576309248,DT
576310272,DT
576311296,DT
576316416,DT
576317440,DT
576318464,DT
576319488,DT
576332800,DT
576333824,DT
576334848,DT
576335872,DT
576340992,DT
576342016,DT
576343040,DT
576344064,DT
576349184,DT
576350208,DT
576351232,DT
576352256,DT
576365568,DT
576366592,DT
576367616,DT
576368640,DT
576373760,DT
576374784,DT
576375808,DT
576376832,DT
576381952,DT
576382976,DT
576384000,DT
576385024,DT
576496640,DT
576497664,DT
576498688,DT
576499712,DT
576504832,DT
576505856,DT
576506880,DT
576507904,DT
576513024,DT
576514048,DT
576515072,DT
576516096,DT
576529408,DT
576530432,DT
576531456,DT
576532480,DT
576537600,DT
576538624,DT
576539648,DT
576540672,DT
576545792,DT
576546816,DT
576547840,DT
576548864,DT
576562176,DT
576563200,DT
576564224,DT
576565248,DT
576570368,DT
576571392,DT
576572416,DT
576573440,DT
576578560,DT
576579584,DT
576580608,DT
576581632,DT
576594944,DT
576595968,DT
576596992,DT
576598016,DT
576603136,DT
576604160,DT
576605184,DT
576606208,DT
576611328,DT
576612352,DT
576613376,DT
576614400,DT
576627712,DT
576628736,DT
576629760,DT
576630784,DT
576635904,DT
576636928,DT
576637952,DT
576638976,DT
576644096,DT
576645120,DT
576646144,DT
576647168,DT
576758784,DT
576759808,DT
576760832,DT
576761856,DT
576766976,DT
576768000,DT
576769024,DT
576770048,DT
576775168,DT
576776192,DT
576777216,DT
576778240,DT
576791552,DT
576792576,DT
576793600,DT
576794624,DT
576799744,DT
576800768,DT
576801792,DT
576802816,DT
576807936,DT
576808960,DT
576809984,DT
576811008,DT
576824320,DT
576825344,DT
576826368,DT
576827392,DT
576832512,DT
576833536,DT
576834560,DT
576835584,DT
576840704,DT
576841728,DT
576842752,DT
576843776,DT
576857088,DT
576858112,DT
576859136,DT
576860160,DT
576865280,DT
576866304,DT
576867328,DT
576868352,DT
576873472,DT
576874496,DT
576875520,DT
576876544,DT
576889856,DT
576890880,DT
576891904,DT
576892928,DT
576898048,DT
576899072,DT
576900096,DT
576901120,DT
576906240,DT
576907264,DT
576908288,DT
576909312,DT
577020928,DT
577021952,DT
577022976,DT
577024000,DT
577029120,DT
577030144,DT
577031168,DT
577032192,DT
577037312,DT
577038336,DT
577039360,DT
577040384,DT
577053696,DT
577054720,DT
577055744,DT
577056768,DT
577061888,DT
577062912,DT
577063936,DT
577064960,DT
577070080,DT
577071104,DT
577072128,DT
577073152,DT
577086464,DT
577087488,DT
577088512,DT
577089536,DT
577094656,DT
577095680,DT
577096704,DT
577097728,DT
577102848,DT
577103872,DT
577104896,DT
577105920,DT
577119232,DT
577120256,DT
577121280,DT
577122304,DT
577127424,DT
577128448,DT
577129472,DT
577130496,DT
577135616,DT
577136640,DT
577137664,DT
577138688,DT
577152000,DT
577153024,DT
577154048,DT
577155072,DT
577160192,DT
577161216,DT
577162240,DT
577163264,DT
577168384,DT
577169408,DT
577170432,DT
577171456,DT
577283072,DT
577284096,DT
577285120,DT
577286144,DT
577291264,DT
577292288,DT
577293312,DT
577294336,DT
577299456,DT
577300480,DT
577301504,DT
577302528,DT
577315840,DT
577316864,DT
577317888,DT
577318912,DT
577324032,DT
577325056,DT
577326080,DT
577327104,DT
577332224,DT
577333248,DT
577334272,DT
577335296,DT
577348608,DT
577349632,DT
577350656,DT
577351680,DT
577356800,DT
577357824,DT
577358848,DT
577359872,DT
577364992,DT
577366016,DT
577367040,DT
577368064,DT
577381376,DT
577382400,DT
577383424,DT
577384448,DT
577389568,DT
577390592,DT
577391616,DT
577392640,DT
577397760,DT
577398784,DT
577399808,DT
577400832,DT
577414144,DT
577415168,DT
577416192,DT
577417216,DT
577422336,DT
577423360,DT
577424384,DT
577425408,DT
577430528,DT
577431552,DT
577432576,DT
577433600,DT
577545216,DT
577546240,DT
577547264,DT
577548288,DT
577553408,DT
577554432,DT
577555456,DT
577556480,DT
577561600,DT
577562624,DT
577563648,DT
577564672,DT
577577984,DT
577579008,DT
577580032,DT
577581056,DT
577586176,DT
577587200,DT
577588224,DT
577589248,DT
577594368,DT
577595392,DT
577596416,DT
577597440,DT
577610752,DT
577611776,DT
577612800,DT
577613824,DT
577618944,DT
577619968,DT
577620992,DT
577622016,DT
577627136,DT
577628160,DT
577629184,DT
577630208,DT
577643520,DT
577644544,DT
577645568,DT
577646592,DT
577651712,DT
577652736,DT
577653760,DT
577654784,DT
577659904,DT
577660928,DT
577661952,DT
577662976,DT
577676288,DT
577677312,DT
577678336,DT
577679360,DT
577684480,DT
577685504,DT
577686528,DT
577687552,DT
577692672,DT
577693696,DT
577694720,DT
577695744,DT
577807360,DT
577808384,DT
577809408,DT
577810432,DT
577815552,DT
577816576,DT
577817600,DT
577818624,DT
577823744,DT
577824768,DT
577825792,DT
577826816,DT
577840128,DT
577841152,DT
577842176,DT
577843200,DT
577848320,DT
577849344,DT
577850368,DT
577851392,DT
577856512,DT
577857536,DT
577858560,DT
577859584,DT
577872896,DT
577873920,DT
577874944,DT
577875968,DT
577881088,DT
577882112,DT
577883136,DT
577884160,DT
577889280,DT
577890304,DT
577891328,DT
577892352,DT
577905664,DT
577906688,DT
577907712,DT
577908736,DT
577913856,DT
577914880,DT
577915904,DT
577916928,DT
577922048,DT
577923072,DT
577924096,DT
577925120,DT
577938432,DT
577939456,DT
577940480,DT
577941504,DT
577946624,DT
577947648,DT
577948672,DT
577949696,DT
577954816,DT
577955840,DT
577956864,DT
577957888,DT
579118080,DT
579119104,DT
579120128,DT
579121152,DT
579126272,DT
579127296,DT
579128320,DT
579129344,DT
579134464,DT
579135488,DT
579136512,DT
579137536,DT
579150848,DT
579151872,DT
579152896,DT
579153920,DT
579159040,DT
579160064,DT
579161088,DT
579162112,DT
579167232,DT
579168256,DT
579169280,DT
579170304,DT
579183616,DT
579184640,DT
579185664,DT
579186688,DT
579191808,DT
579192832,DT
579193856,DT
579194880,DT
579200000,DT
579201024,DT
579202048,DT
579203072,DT
579216384,DT
579217408,DT
579218432,DT
579219456,DT
579224576,DT
579225600,DT
579226624,DT
579227648,DT
579232768,DT
579233792,DT
579234816,DT
579235840,DT
579249152,DT
579250176,DT
579251200,DT
579252224,DT
579257344,DT
579258368,DT
579259392,DT
579260416,DT
579265536,DT
579266560,DT
579267584,DT
579268608,DT
579380224,DT
579381248,DT
579382272,DT
579383296,DT
579388416,DT
579389440,DT
579390464,DT
579391488,DT
579396608,DT
579397632,DT
579398656,DT
579399680,DT
579412992,DT
579414016,DT
579415040,DT
579416064,DT
579421184,DT
579422208,DT
579423232,DT
579424256,DT
579429376,DT
579430400,DT
579431424,DT
579432448,DT
579445760,DT
579446784,DT
579447808,DT
579448832,DT
579453952,DT
579454976,DT
579456000,DT
579457024,DT
579462144,DT
579463168,DT
579464192,DT
579465216,DT
579478528,DT
579479552,DT
579480576,DT
579481600,DT
579486720,DT
579487744,DT
579488768,DT
579489792,DT
579494912,DT
579495936,DT
579496960,DT
579497984,DT
579511296,DT
579512320,DT
579513344,DT
579514368,DT
579519488,DT
579520512,DT
579521536,DT
579522560,DT
579527680,DT
579528704,DT
579529728,DT
579530752,DT
579642368,DT
579643392,DT
579644416,DT
579645440,DT
579650560,DT
579651584,DT
579652608,DT
579653632,DT
579658752,DT
579659776,DT
579660800,DT
579661824,DT
579675136,DT
579676160,DT
579677184,DT
579678208,DT
579683328,DT
579684352,DT
579685376,DT
579686400,DT
579691520,DT
579692544,DT
579693568,DT
579694592,DT
579707904,DT
579708928,DT
579709952,DT
579710976,DT
579716096,DT
579717120,DT
579718144,DT
579719168,DT
579724288,DT
579725312,DT
579726336,DT
579727360,DT
579740672,DT
579741696,DT
579742720,DT
579743744,DT
579748864,DT
579749888,DT
579750912,DT
579751936,DT
579757056,DT
579758080,DT
579759104,DT
579760128,DT
579773440,DT
579774464,DT
579775488,DT
579776512,DT
579781632,DT
579782656,DT
579783680,DT
579784704,DT
579789824,DT
579790848,DT
579791872,DT
579792896,DT
579904512,DT
579905536,DT
579906560,DT
579907584,DT
579912704,DT
579913728,DT
579914752,DT
579915776,DT
579920896,DT
579921920,DT
579922944,DT
579923968,DT
579937280,DT
579938304,DT
579939328,DT
579940352,DT
579945472,DT
579946496,DT
579947520,DT
579948544,DT
579953664,DT
579954688,DT
579955712,DT
579956736,DT
579970048,DT
579971072,DT
579972096,DT
579973120,DT
579978240,DT
579979264,DT
579980288,DT
579981312,DT
579986432,DT
579987456,DT
579988480,DT
579989504,DT
580002816,DT
580003840,DT
580004864,DT
580005888,DT
580011008,DT
580012032,DT
580013056,DT
580014080,DT
580019200,DT
580020224,DT
580021248,DT
580022272,DT
580035584,DT
580036608,DT
580037632,DT
580038656,DT
580043776,DT
580044800,DT
580045824,DT
580046848,DT
580051968,DT
580052992,DT
580054016,DT
580055040,DT
580166656,DT
580167680,DT
580168704,DT
580169728,DT
580174848,DT
580175872,DT
580176896,DT
580177920,DT
580183040,DT
580184064,DT
580185088,DT
580186112,DT
580199424,DT
580200448,DT
580201472,DT
580202496,DT
580207616,DT
580208640,DT
580209664,DT
580210688,DT
580215808,DT
580216832,DT
580217856,DT
580218880,DT
580232192,DT
580233216,DT
580234240,DT
580235264,DT
580240384,DT
580241408,DT
580242432,DT
580243456,DT
580248576,DT
580249600,DT
580250624,DT
580251648,DT
580264960,DT
580265984,DT
580267008,DT
580268032,DT
580273152,DT
580274176,DT
580275200,DT
580276224,DT
580281344,DT
580282368,DT
580283392,DT
580284416,DT
580297728,DT
580298752,DT
580299776,DT
580300800,DT
580305920,DT
580306944,DT
580307968,DT
580308992,DT
580314112,DT
580315136,DT
580316160,DT
580317184,DT
580428800,DT
580429824,DT
580430848,DT
580431872,DT
580436992,DT
580438016,DT
580439040,DT
580440064,DT
580445184,DT
580446208,DT
580447232,DT
580448256,DT
580461568,DT
580462592,DT
580463616,DT
580464640,DT
580469760,DT
580470784,DT
580471808,DT
580472832,DT
580477952,DT
580478976,DT
580480000,DT
580481024,DT
580494336,DT
580495360,DT
580496384,DT
580497408,DT
580502528,DT
580503552,DT
580504576,DT
580505600,DT
580510720,DT
580511744,DT
580512768,DT
580513792,DT
580527104,DT
580528128,DT
580529152,DT
580530176,DT
580535296,DT
580536320,DT
580537344,DT
580538368,DT
580543488,DT
580544512,DT
580545536,DT
580546560,DT
580559872,DT
580560896,DT
580561920,DT
580562944,DT
580568064,DT
580569088,DT
580570112,DT
580571136,DT
580576256,DT
580577280,DT
580578304,DT
580579328,DT
580690944,DT
580691968,DT
580692992,DT
580694016,DT
580699136,DT
580700160,DT
580701184,DT
580702208,DT
580707328,DT
580708352,DT
580709376,DT
580710400,DT
580723712,DT
580724736,DT
580725760,DT
580726784,DT
580731904,DT
580732928,DT
580733952,DT
580734976,DT
580740096,DT
580741120,DT
580742144,DT
580743168,DT
580756480,DT
580757504,DT
580758528,DT
580759552,DT
580764672,DT
580765696,DT
580766720,DT
580767744,DT
580772864,DT
580773888,DT
580774912,DT
